ticker,date,open,high,low,close,volume,uploaded_at
EQTY,2026-07-04,75.25,75.25,75.25,75.25,0,2026-07-04T09:12:53.740516
KCB,2026-07-04,69.25,69.25,69.25,69.25,0,2026-07-04T09:12:53.740516
COOP,2026-07-04,31.3,31.3,31.3,31.3,0,2026-07-04T09:12:53.740516
ABSA,2026-07-04,28.55,28.55,28.55,28.55,0,2026-07-04T09:12:53.740516
NCBA,2026-07-04,88.25,88.25,88.25,88.25,0,2026-07-04T09:12:53.740516
DTK,2026-07-04,142.75,142.75,142.75,142.75,0,2026-07-04T09:12:53.740516
SCBK,2026-07-04,338.75,338.75,338.75,338.75,0,2026-07-04T09:12:53.740516
IMH,2026-07-04,53.25,53.25,53.25,53.25,0,2026-07-04T09:12:53.740516
HFCK,2026-07-04,9.6,9.6,9.6,9.6,0,2026-07-04T09:12:53.740516
SBIC,2026-07-04,286.5,286.5,286.5,286.5,0,2026-07-04T09:12:53.740516
BKG,2026-07-04,54.0,54.0,54.0,54.0,0,2026-07-04T09:12:53.740516
SCOM,2026-07-04,31.35,31.35,31.35,31.35,0,2026-07-04T09:12:53.740516
EABL,2026-07-04,248.5,248.5,248.5,248.5,0,2026-07-04T09:12:53.740516
BAT,2026-07-04,518.0,518.0,518.0,518.0,0,2026-07-04T09:12:53.740516
UNGA,2026-07-04,26.8,26.8,26.8,26.8,0,2026-07-04T09:12:53.740516
AMAC,2026-07-04,111.75,111.75,111.75,111.75,0,2026-07-04T09:12:53.740516
CARB,2026-07-04,29.85,29.85,29.85,29.85,0,2026-07-04T09:12:53.740516
BOC,2026-07-04,164.75,164.75,164.75,164.75,0,2026-07-04T09:12:53.740516
FTGH,2026-07-04,1.95,1.95,1.95,1.95,0,2026-07-04T09:12:53.740516
SKL,2026-07-04,9.38,9.38,9.38,9.38,0,2026-07-04T09:12:53.740516
JUB,2026-07-04,368.5,368.5,368.5,368.5,0,2026-07-04T09:12:53.740516
BRIT,2026-07-04,12.35,12.35,12.35,12.35,0,2026-07-04T09:12:53.740516
CIC,2026-07-04,4.19,4.19,4.19,4.19,0,2026-07-04T09:12:53.740516
KNRE,2026-07-04,3.44,3.44,3.44,3.44,0,2026-07-04T09:12:53.740516
LBTY,2026-07-04,9.88,9.88,9.88,9.88,0,2026-07-04T09:12:53.740516
SLAM,2026-07-04,7.74,7.74,7.74,7.74,0,2026-07-04T09:12:53.740516
KEGN,2026-07-04,8.97,8.97,8.97,8.97,0,2026-07-04T09:12:53.740516
KPLC,2026-07-04,19.3,19.3,19.3,19.3,0,2026-07-04T09:12:53.740516
TOTL,2026-07-04,43.7,43.7,43.7,43.7,0,2026-07-04T09:12:53.740516
UMME,2026-07-04,8.0,8.0,8.0,8.0,0,2026-07-04T09:12:53.740516
KENOL,2026-07-04,11.0,11.0,11.0,11.0,0,2026-07-04T09:12:53.740516
KPC,2026-07-04,9.2,9.2,9.2,9.2,0,2026-07-04T09:12:53.740516
BAMB,2026-07-04,54.0,54.0,54.0,54.0,0,2026-07-04T09:12:53.740516
PORT,2026-07-04,90.0,90.0,90.0,90.0,0,2026-07-04T09:12:53.740516
CRWN,2026-07-04,66.5,66.5,66.5,66.5,0,2026-07-04T09:12:53.740516
SASN,2026-07-04,23.0,23.0,23.0,23.0,0,2026-07-04T09:12:53.740516
KAPC,2026-07-04,345.0,345.0,345.0,345.0,0,2026-07-04T09:12:53.740516
LIMT,2026-07-04,538.0,538.0,538.0,538.0,0,2026-07-04T09:12:53.740516
KUKZ,2026-07-04,439.0,439.0,439.0,439.0,0,2026-07-04T09:12:53.740516
EGAD,2026-07-04,29.0,29.0,29.0,29.0,0,2026-07-04T09:12:53.740516
TPSE,2026-07-04,15.9,15.9,15.9,15.9,0,2026-07-04T09:12:53.740516
NMG,2026-07-04,13.25,13.25,13.25,13.25,0,2026-07-04T09:12:53.740516
SGL,2026-07-04,6.2,6.2,6.2,6.2,0,2026-07-04T09:12:53.740516
EVRD,2026-07-04,1.11,1.11,1.11,1.11,0,2026-07-04T09:12:53.740516
XPRS,2026-07-04,7.0,7.0,7.0,7.0,0,2026-07-04T09:12:53.740516
SMER,2026-07-04,15.9,15.9,15.9,15.9,0,2026-07-04T09:12:53.740516
LKL,2026-07-04,2.8,2.8,2.8,2.8,0,2026-07-04T09:12:53.740516
NBV,2026-07-04,1.3,1.3,1.3,1.3,0,2026-07-04T09:12:53.740516
UCHM,2026-07-04,1.74,1.74,1.74,1.74,0,2026-07-04T09:12:53.740516
KQ,2026-07-04,5.58,5.58,5.58,5.58,0,2026-07-04T09:12:53.740516
CGEN,2026-07-04,113.0,113.0,113.0,113.0,0,2026-07-04T09:12:53.740516
CTUM,2026-07-04,14.25,14.25,14.25,14.25,0,2026-07-04T09:12:53.740516
HAFR,2026-07-04,1.32,1.32,1.32,1.32,0,2026-07-04T09:12:53.740516
OCH,2026-07-04,7.0,7.0,7.0,7.0,0,2026-07-04T09:12:53.740516
NSE,2026-07-04,19.5,19.5,19.5,19.5,0,2026-07-04T09:12:53.740516
